"Location","PASFR","Births"
"Denmark",1.229,3.746
"Denmark",1.229,3.748
"Denmark",1.229,3.751
"Denmark",1.229,3.752
"Denmark",1.229,3.754
"Denmark",1.229,3.773
"Denmark",1.229,3.785
"Denmark",1.229,3.789
"Denmark",1.229,3.795
"Denmark",1.229,3.796
"Denmark",1.229,3.8
"Denmark",1.229,3.802
"Denmark",1.229,3.812
"Denmark",1.229,3.824
"Denmark",1.229,3.825
"Denmark",1.229,3.825
"Denmark",1.229,3.829
"Denmark",1.229,3.845
"Denmark",1.229,3.851
"Denmark",1.229,3.924
"Denmark",1.229,3.933
"Denmark",1.229,4.009
"Denmark",1.229,4.059
"Denmark",1.229,4.067
"Denmark",1.229,4.11
"Denmark",1.229,4.152
"Denmark",1.229,4.156
"Denmark",1.229,4.16
"Denmark",1.229,4.171
"Denmark",1.229,4.196
"Denmark",1.229,4.22
"Denmark",1.229,4.254
"Denmark",1.229,4.262
"Denmark",1.229,4.284
"Denmark",1.229,4.306
"Denmark",1.229,4.344
"Denmark",1.229,4.348
"Denmark",1.229,4.405
"Denmark",1.229,4.473
"Denmark",1.229,4.49
"Denmark",1.229,4.609
"Denmark",1.229,4.867
"Denmark",1.229,4.893
"Denmark",1.229,4.898
"Denmark",1.229,4.96
"Denmark",1.229,4.997
"Denmark",1.229,5.04
"Denmark",1.229,5.127
"Denmark",1.229,5.435
"Denmark",1.229,5.627
"Denmark",1.229,5.631
"Denmark",1.229,5.651
"Denmark",1.229,5.667
"Denmark",1.229,5.693
"Denmark",1.229,5.84
"Denmark",1.229,5.973
"Denmark",1.229,6.022
"Denmark",1.229,6.034
"Denmark",1.229,6.07
"Denmark",1.229,6.351
"Denmark",1.229,6.866
"Denmark",1.229,7.3
"Denmark",1.229,7.529
"Denmark",1.229,7.608
"Denmark",1.229,7.728
"Denmark",1.229,7.992
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"Denmark",1.229,NA
"India",1.257,276.148
"India",1.257,736.996
"India",1.257,809.796
"India",1.257,840.293
"India",1.257,1460.133
"India",1.257,1547.739
"India",1.257,1588.123
"India",1.257,1700.597
"India",1.257,1822.493
"India",1.257,NA
"Denmark",1.282,3.845
"India",1.302,NA
"India",1.321,943.216
"India",1.331,NA
"Denmark",1.344,4.473
"India",1.353,NA
"India",1.359,NA
"India",1.386,NA
"India",1.404,NA
"India",1.406,NA
"India",1.425,NA
"India",1.44,NA
"India",1.448,NA
"India",1.47,NA
"India",1.47,NA
"India",1.485,NA
"India",1.498,1074.237
"India",1.5,NA
"Denmark",1.505,5.14
"India",1.51,NA
"India",1.522,NA
"India",1.524,NA
"India",1.549,NA
"India",1.556,NA
"Denmark",1.583,4.726
"India",1.587,NA
"India",1.626,NA
"India",1.651,1102.774
"India",1.655,NA
"Denmark",1.67,5.351
"India",1.681,1291.406
"India",1.681,1748.744
"India",1.681,1765.392
"India",1.681,1780.707
"India",1.681,2031.004
"India",1.681,2101.459
"India",1.681,2103.744
